Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.87,,2018-06-18 07:23:56,2018-06-18 07:24:17,20.460s,ERROR
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 67.0.3396.87,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-06-18 07:23:57,2018-06-18 07:24:10,12.901s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 07:23:58,2018-06-18 07:23:58,0.098s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 07:23:58,2018-06-18 07:23:58,0.000s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-18 07:23:58,2018-06-18 07:24:06,8.102s,PASSED
click,Chrome 67.0.3396.87,,2018-06-18 07:24:06,2018-06-18 07:24:07,0.983s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-18 07:24:07,2018-06-18 07:24:07,0.259s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-18 07:24:07,2018-06-18 07:24:07,0.326s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-18 07:24:07,2018-06-18 07:24:08,0.321s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 07:24:08,2018-06-18 07:24:08,0.004s,PASSED
click,Chrome 67.0.3396.87,,2018-06-18 07:24:08,2018-06-18 07:24:09,0.967s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 07:24:09,2018-06-18 07:24:09,0.003s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 67.0.3396.87,,2018-06-18 07:24:09,2018-06-18 07:24:09,0.130s,PASSED
newpackage.newKeyword.switchWindow,Chrome 67.0.3396.87,,2018-06-18 07:24:09,2018-06-18 07:24:09,0.040s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-18 07:24:09,2018-06-18 07:24:10,0.879s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.87,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-06-18 07:24:10,2018-06-18 07:24:17,6.826s,ERROR
Statement - Try,Chrome 67.0.3396.87,,2018-06-18 07:24:10,2018-06-18 07:24:16,5.580s,PASSED
Statement - Catch (Throwable t),Chrome 67.0.3396.87,,2018-06-18 07:24:16,2018-06-18 07:24:16,0.004s,PASSED
Statement - Finally,Chrome 67.0.3396.87,,2018-06-18 07:24:16,2018-06-18 07:24:17,0.942s,PASSED
