Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.87,,2018-06-18 08:46:02,2018-06-18 08:46:10,8.215s,ERROR
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.87,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-06-18 08:46:03,2018-06-18 08:46:10,7.363s,ERROR
Statement - Try,Chrome 67.0.3396.87,,2018-06-18 08:46:03,2018-06-18 08:46:09,6.017s,PASSED
Statement - Catch (Throwable t),Chrome 67.0.3396.87,,2018-06-18 08:46:09,2018-06-18 08:46:09,0.005s,PASSED
Statement - Finally,Chrome 67.0.3396.87,,2018-06-18 08:46:09,2018-06-18 08:46:10,0.831s,PASSED
