Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.87,,2018-06-18 08:48:12,2018-06-18 08:48:31,19.096s,ERROR
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 67.0.3396.87,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-06-18 08:48:13,2018-06-18 08:48:25,12.846s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 08:48:13,2018-06-18 08:48:13,0.118s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 08:48:13,2018-06-18 08:48:13,0.016s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-18 08:48:13,2018-06-18 08:48:21,7.419s,PASSED
click,Chrome 67.0.3396.87,,2018-06-18 08:48:21,2018-06-18 08:48:22,1.471s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-18 08:48:22,2018-06-18 08:48:22,0.134s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-18 08:48:22,2018-06-18 08:48:23,0.440s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-18 08:48:23,2018-06-18 08:48:23,0.412s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 08:48:23,2018-06-18 08:48:23,0.007s,PASSED
click,Chrome 67.0.3396.87,,2018-06-18 08:48:23,2018-06-18 08:48:24,0.990s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 08:48:24,2018-06-18 08:48:24,0.003s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 67.0.3396.87,,2018-06-18 08:48:24,2018-06-18 08:48:24,0.143s,PASSED
newpackage.newKeyword.switchWindow,Chrome 67.0.3396.87,,2018-06-18 08:48:24,2018-06-18 08:48:24,0.022s,PASSED
"Statement - println(""How "" + Name)",Chrome 67.0.3396.87,,2018-06-18 08:48:24,2018-06-18 08:48:24,0.007s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-18 08:48:24,2018-06-18 08:48:25,0.966s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.87,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-06-18 08:48:25,2018-06-18 08:48:31,5.390s,ERROR
Statement - Try,Chrome 67.0.3396.87,,2018-06-18 08:48:26,2018-06-18 08:48:30,4.140s,PASSED
Statement - Catch (Throwable t),Chrome 67.0.3396.87,,2018-06-18 08:48:30,2018-06-18 08:48:30,0.003s,PASSED
Statement - Finally,Chrome 67.0.3396.87,,2018-06-18 08:48:30,2018-06-18 08:48:31,0.876s,PASSED
