Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Firefox 54.0,,2018-06-17 20:54:54,2018-06-17 20:56:20,1m - 25.959s,ERROR
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Firefox 54.0,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-06-17 20:54:55,2018-06-17 20:56:00,1m - 4.635s,PASSED
comment,Firefox 54.0,,2018-06-17 20:54:57,2018-06-17 20:54:57,0.390s,PASSED
comment,Firefox 54.0,,2018-06-17 20:54:57,2018-06-17 20:54:58,0.720s,PASSED
openBrowser,Firefox 54.0,,2018-06-17 20:54:58,2018-06-17 20:55:53,55.110s,PASSED
click,Firefox 54.0,,2018-06-17 20:55:53,2018-06-17 20:55:54,1.336s,PASSED
waitForElementVisible,Firefox 54.0,,2018-06-17 20:55:54,2018-06-17 20:55:56,1.695s,PASSED
setText,Firefox 54.0,,2018-06-17 20:55:56,2018-06-17 20:55:57,0.528s,PASSED
setText,Firefox 54.0,,2018-06-17 20:55:57,2018-06-17 20:55:57,0.848s,PASSED
comment,Firefox 54.0,,2018-06-17 20:55:57,2018-06-17 20:55:57,0.003s,PASSED
click,Firefox 54.0,,2018-06-17 20:55:57,2018-06-17 20:56:00,2.141s,PASSED
comment,Firefox 54.0,,2018-06-17 20:56:00,2018-06-17 20:56:00,0.003s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Firefox 54.0,,2018-06-17 20:56:00,2018-06-17 20:56:00,0.083s,PASSED
closeBrowser,Firefox 54.0,,2018-06-17 20:56:00,2018-06-17 20:56:00,0.293s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Firefox 54.0,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-06-17 20:56:00,2018-06-17 20:56:20,19.740s,ERROR
Statement - Try,Firefox 54.0,,2018-06-17 20:56:00,2018-06-17 20:56:19,19.021s,PASSED
Statement - Catch (Throwable t),Firefox 54.0,,2018-06-17 20:56:19,2018-06-17 20:56:19,0.002s,PASSED
Statement - Finally,Firefox 54.0,,2018-06-17 20:56:19,2018-06-17 20:56:20,0.440s,PASSED
