Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.87,,2018-06-18 08:45:15,2018-06-18 08:45:37,22.233s,ERROR
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 67.0.3396.87,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-06-18 08:45:16,2018-06-18 08:45:31,15.147s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 08:45:17,2018-06-18 08:45:17,0.218s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 08:45:17,2018-06-18 08:45:17,0.012s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-18 08:45:17,2018-06-18 08:45:26,8.835s,PASSED
click,Chrome 67.0.3396.87,,2018-06-18 08:45:26,2018-06-18 08:45:27,0.902s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-18 08:45:27,2018-06-18 08:45:27,0.159s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-18 08:45:27,2018-06-18 08:45:29,1.718s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-18 08:45:29,2018-06-18 08:45:29,0.269s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 08:45:29,2018-06-18 08:45:29,0.006s,PASSED
click,Chrome 67.0.3396.87,,2018-06-18 08:45:29,2018-06-18 08:45:30,0.926s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 08:45:30,2018-06-18 08:45:30,0.002s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 67.0.3396.87,,2018-06-18 08:45:30,2018-06-18 08:45:30,0.161s,PASSED
newpackage.newKeyword.switchWindow,Chrome 67.0.3396.87,,2018-06-18 08:45:30,2018-06-18 08:45:30,0.021s,PASSED
"Statement - println(""How "" + Name)",Chrome 67.0.3396.87,,2018-06-18 08:45:30,2018-06-18 08:45:30,0.008s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-18 08:45:30,2018-06-18 08:45:31,0.941s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.87,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-06-18 08:45:31,2018-06-18 08:45:37,5.751s,ERROR
Statement - Try,Chrome 67.0.3396.87,,2018-06-18 08:45:31,2018-06-18 08:45:36,4.753s,PASSED
Statement - Catch (Throwable t),Chrome 67.0.3396.87,,2018-06-18 08:45:36,2018-06-18 08:45:36,0.002s,PASSED
Statement - Finally,Chrome 67.0.3396.87,,2018-06-18 08:45:36,2018-06-18 08:45:37,0.760s,PASSED
